,Ticker,Name,Exchange,Category Name,Country,ratio,earnings
0,AAPL,Apple Inc.,NMS,Electronic Equipment,USA,1.3565736179093302,
1,BAC,Bank of America Corporation,NYQ,Money Center Banks,USA,1.1243716817358012,
2,AMZN,"Amazon.com, Inc.",NMS,Catalog & Mail Order Houses,USA,1.3802975708998209,
3,T,AT&T Inc.,NYQ,Telecom Services - Domestic,USA,1.548220013597804,
4,GOOG,Alphabet Inc.,NMS,Internet Information Providers,USA,3.8640323172970974,
5,MO,"Altria Group, Inc.",NYQ,Cigarettes,USA,1.1445329740528236,
6,DAL,"Delta Air Lines, Inc.",NYQ,Major Airlines,USA,1.3123195184447063,
7,AA,Alcoa Corporation,NYQ,Aluminum,USA,1.390911683620116,
8,AXP,American Express Company,NYQ,Credit Services,USA,1.1316462196861623,
9,DD,E. I. du Pont de Nemours and Company,NYQ,Agricultural Chemicals,USA,2.436802780191138,
10,BABA,Alibaba Group Holding Limited,NYQ,"Specialty Retail, Other",USA,2.72584141681364,
11,ABT,Abbott Laboratories,NYQ,Medical Appliances & Equipment,USA,1.844805565368624,
12,UA,"Under Armour, Inc.",NYQ,Textile - Apparel Clothing,USA,1.8683790445462056,
13,AMAT,"Applied Materials, Inc.",NMS,Semiconductor Equipment & Materials,USA,1.7796884847393537,
14,AMGN,Amgen Inc.,NMS,Biotechnology,USA,1.2247983870967742,
15,AAL,American Airlines Group Inc.,NMS,Major Airlines,USA,1.0026223059903303,
16,AIG,"American International Group, Inc.",NYQ,Property & Casualty Insurance,USA,1.14276449940046,
17,ALL,The Allstate Corporation,NYQ,Property & Casualty Insurance,USA,1.2753520904216658,
18,ADBE,Adobe Systems Incorporated,NMS,Application Software,USA,1.9735789375755883,
19,GOOGL,Alphabet Inc.,NMS,Internet Information Providers,USA,3.7051177031436735,
20,ACN,Accenture plc,NYQ,Information Technology Services,USA,1.8583241152329204,
21,ABBV,AbbVie Inc.,NYQ,Drug Manufacturers - Major,USA,0.8784340963837617,
22,MT,ArcelorMittal,NYQ,Steel & Iron,USA,2.107120447757448,
23,LLY,Eli Lilly and Company,NYQ,Drug Manufacturers - Major,USA,1.0980133640098984,
24,AGN,Allergan plc,NYQ,Drugs - Generic,USA,2.6273080701402862,
25,APA,Apache Corporation,NYQ,Independent Oil & Gas,USA,1.2191624023700511,
26,ADP,"Automatic Data Processing, Inc.",NMS,Business Software & Services,USA,1.1227691955601329,
27,APC,Anadarko Petroleum Corporation,NYQ,Independent Oil & Gas,USA,1.2330315385537831,
28,AKAM,"Akamai Technologies, Inc.",NMS,Internet Information Providers,USA,2.0922772899268063,
29,NLY,"Annaly Capital Management, Inc.",NYQ,REIT - Diversified,USA,1.1338115085752702,
30,ABX,Barrick Gold Corporation,NYQ,Gold,USA,,
31,ATVI,"Activision Blizzard, Inc.",NMS,Multimedia & Graphics Software,USA,2.8188920454545454,
32,ADSK,"Autodesk, Inc.",NMS,Technical & System Software,USA,0.9779849328944036,
33,ADM,Archer-Daniels-Midland Company,NYQ,Farm Products,USA,1.8247850189881707,
34,BMH.AX,Baumart Holdings Limited,ASX,General Building Materials,Australia,,
35,WBA,"Walgreens Boots Alliance, Inc.",NMS,Drug Stores,USA,1.5333212357664563,
36,ARNA,"Arena Pharmaceuticals, Inc.",NMS,Biotechnology,USA,11.437228467338151,
37,LUV,Southwest Airlines Co.,NYQ,Regional Airlines,USA,1.6120898960343646,
38,ACAD,ACADIA Pharmaceuticals Inc.,NMS,Biotechnology,USA,9.3182824100514,
39,PANW,"Palo Alto Networks, Inc.",NYQ,Networking & Communication Devices,USA,1.288489131214578,
40,AMD,"Advanced Micro Devices, Inc.",NCM,Semiconductor - Broad Line,USA,1.707182320441989,
41,AET,Aetna Inc.,NYQ,Health Care Plans,USA,1.4712717716170256,
42,AEP,"American Electric Power Company, Inc.",NYQ,Electric Utilities,USA,1.3638766210876585,
43,ALXN,"Alexion Pharmaceuticals, Inc.",NMS,Biotechnology,USA,2.7969327891850533,
44,AVGO,Broadcom Limited,NMS,Semiconductor - Broad Line,USA,1.4302411808326565,
45,EA,Electronic Arts Inc.,NMS,Multimedia & Graphics Software,USA,3.0838427947598253,
46,DB,Deutsche Bank Aktiengesellschaft,NYQ,Foreign Regional Banks,USA,1.0505809639725583,
47,AEM,Agnico Eagle Mines Limited,NYQ,Gold,USA,2.348857839875804,
48,APD,"Air Products and Chemicals, Inc.",NYQ,Chemicals - Major Diversified,USA,2.4274420672958152,
49,AMBA,"Ambarella, Inc.",NMS,Semiconductor Equipment & Materials,USA,6.657189030857028,
50,NVS,Novartis AG,NYQ,Drug Manufacturers - Major,USA,1.9041658620508048,
51,ANF,Abercrombie & Fitch Co.,NYQ,Apparel Stores,USA,1.3930128875485366,
52,LULU,Lululemon Athletica Inc.,NMS,Textile - Apparel Clothing,USA,2.468787242238567,
53,RAD,Rite Aid Corporation,NYQ,Drug Stores,USA,1.0989007402425728,
54,BRK.AX,Brookside Energy Limited,ASX,Independent Oil & Gas,Australia,,2187313.0
55,ARRY,Array BioPharma Inc.,NGM,Biotechnology,USA,2.136582020431157,
56,AGNC,AGNC Investment Corp.,NMS,REIT - Residential,USA,1.1025937236308112,
57,JBLU,JetBlue Airways Corporation,NMS,Regional Airlines,USA,1.7267734553775744,
58,A,"Agilent Technologies, Inc.",NYQ,Medical Laboratories & Research,USA,2.224084579680248,
59,ORLY,"O'Reilly Automotive, Inc.",NMS,Auto Parts Stores,USA,1.0385026095416392,
60,FOLD,"Amicus Therapeutics, Inc.",NGM,Biotechnology,USA,2.274606588867308,
61,AZO,"AutoZone, Inc.",NYQ,Auto Parts Stores,USA,0.8825979761875029,
62,AN,"AutoNation, Inc.",NYQ,Auto Dealerships,USA,1.4019664390819708,
63,AZN,AstraZeneca PLC,NYQ,Drug Manufacturers - Major,USA,1.340741578114402,
64,AES,The AES Corporation,NYQ,Electric Utilities,USA,1.0977423985384314,
65,BUD,Anheuser-Busch InBev SA/NV,NYQ,Beverages - Brewers,USA,1.496438624247854,
66,ARR,"ARMOUR Residential REIT, Inc.",NYQ,REIT - Residential,USA,1.1167984880231594,
67,BDX,"Becton, Dickinson and Company",NYQ,Medical Instruments & Supplies,USA,1.6870355885803676,
68,AKS,AK Steel Holding Corporation,NYQ,Steel & Iron,USA,1.030111856823266,
69,AB,AllianceBernstein Holding L.P.,NYQ,Asset Management,USA,900.5005793742758,
70,ACOR,"Acorda Therapeutics, Inc.",NMS,Biotechnology,USA,1.635756333631964,
71,CS,Credit Suisse Group AG,NYQ,Foreign Money Center Banks,USA,1.0585977151012729,
72,AFL,Aflac Incorporated,NYQ,Accident & Health Insurance,USA,1.236072462489675,
73,ADI,"Analog Devices, Inc.",NMS,Semiconductor - Integrated Circuits,USA,2.20919552147359,
74,ACIW,"ACI Worldwide, Inc.",NMS,Technical & System Software,USA,1.531108318143832,
75,AMP,"Ameriprise Financial, Inc.",NYQ,Asset Management,USA,1.0392131362979895,
76,AVP,"Avon Products, Inc.",NYQ,Personal Products,USA,0.7570212661581104,
77,AMTD,TD Ameritrade Holding Corporation,NMS,Investment Brokerage - National,USA,1.2518281798813842,
78,AEO,"American Eagle Outfitters, Inc.",NYQ,Apparel Stores,USA,1.5996911803293503,
79,AWK,"American Water Works Company, Inc.",NYQ,Water Utilities,USA,1.3857178464606177,
80,NVO,Novo Nordisk A/S,NYQ,Drug Manufacturers - Other,USA,1.858401443583484,
81,ALK,"Alaska Air Group, Inc.",NYQ,Regional Airlines,USA,1.5,
82,PAA,"Plains All American Pipeline, L.P.",NYQ,Oil & Gas Pipelines,USA,1.8365033621517768,
83,AAP,"Advance Auto Parts, Inc.",NYQ,Auto Parts Stores,USA,1.451516624716082,
84,NAT,Nordic American Tankers Limited,NYQ,Shipping,USA,2.310112359550562,
85,FNMA,Federal National Mortgage Association,PNK,Mortgage Investment,USA,1.0029683470078592,
86,AIV,Apartment Investment and Management Company,NYQ,REIT - Residential,USA,1.3527371738617973,
87,AGIO,"Agios Pharmaceuticals, Inc.",NMS,Biotechnology,USA,2.790835913312693,
88,AEE,Ameren Corporation,NYQ,Electric Utilities,USA,1.3860783750119767,
89,UBS,UBS Group AG,NYQ,Foreign Money Center Banks,USA,1.0596407156442782,
90,AVXL,Anavex Life Sciences Corp.,NCM,Biotechnology,USA,5.025994340110095,
91,ARLP,"Alliance Resource Partners, L.P.",NMS,Industrial Metals & Minerals,USA,2.039947290852308,
92,ANTM,"Anthem, Inc.",NYQ,Health Care Plans,USA,1.6741398971534307,
93,AGU,Agrium Inc.,NYQ,Agricultural Chemicals,USA,,
94,AG,First Majestic Silver Corp.,NYQ,Silver,USA,2.894334599623104,
95,AFSI,"AmTrust Financial Services, Inc.",NMS,Property & Casualty Insurance,USA,1.152768180064078,
96,ABC,AmerisourceBergen Corporation,NYQ,Drugs Wholesale,USA,1.0797209290177527,
97,STO,Statoil ASA,NYQ,Major Integrated Oil & Gas,USA,,
98,ATI,Allegheny Technologies Incorporated,NYQ,Metal Fabrication,USA,1.5896741430385104,
99,AVB,"AvalonBay Communities, Inc.",NYQ,REIT - Residential,USA,2.3514783615622306,
100,ATW,"Atwood Oceanics, Inc.",NYQ,Oil & Gas Drilling & Exploration,USA,3.3802076769917084,
101,ALNY,"Alnylam Pharmaceuticals, Inc.",NMS,Biotechnology,USA,2.504212487531915,
102,LH,Laboratory Corporation of America Holdings,NYQ,Medical Laboratories & Research,USA,1.68110618177023,
103,AVY,Avery Dennison Corporation,NYQ,Business Equipment,USA,1.280993278566094,
104,AUY,Yamana Gold Inc.,NYQ,Gold,USA,1.992436974789916,
105,ASH,Ashland Global Holdings Inc.,NYQ,Chemicals - Major Diversified,USA,1.9794650094569035,
106,ACXM,Acxiom Corporation,NMS,Information Technology Services,USA,,
107,ACHN,"Achillion Pharmaceuticals, Inc.",NMS,Biotechnology,USA,12.357105510822963,
108,ACET,Aceto Corporation,NMS,Chemicals - Major Diversified,USA,1.0715816221999637,
109,ABMD,"ABIOMED, Inc.",NMS,Medical Appliances & Equipment,USA,7.9908312631888245,
110,ABM,ABM Industries Incorporated,NYQ,Business Services,USA,1.6818658739179857,
111,LIFE,"aTyr Pharma, Inc.",NMS,Biotechnology,USA,2.5718737139161623,
112,ATO,Atmos Energy Corporation,NYQ,Gas Utilities,USA,1.7548804079504334,
113,AON,Aon plc,NYQ,Insurance Brokers,USA,1.1296580868228967,
114,ADXS,"Advaxis, Inc.",NMS,Biotechnology,USA,7.903772266852951,
115,ADC,Agree Realty Corporation,NYQ,Property Management,USA,2.4377510622141587,
116,APU,"AmeriGas Partners, L.P.",NYQ,Gas Utilities,USA,1.1346874142364052,
117,SAVE,"Spirit Airlines, Inc.",NMS,Major Airlines,USA,1.4960236643901303,
118,AKRX,"Akorn, Inc.",NMS,Drugs - Generic,USA,1.222215266890312,
119,ADS,Alliance Data Systems Corporation,NYQ,Business Services,USA,1.0637705016762693,
120,ABAX,"Abaxis, Inc.",NMS,Medical Laboratories & Research,USA,6.766574092441976,
121,AYI,"Acuity Brands, Inc.",NYQ,Diversified Electronics,USA,2.5308336657359387,
122,AMT,American Tower Corporation,NYQ,REIT - Diversified,USA,1.1339313626272314,
123,ALDR,"Alder Biopharmaceuticals, Inc.",NGM,Biotechnology,USA,1.3131334063850202,
124,ACM,AECOM,NYQ,Technical Services,USA,1.3426395748218716,
125,ATRS,"Antares Pharma, Inc.",NCM,Medical Instruments & Supplies,USA,1.6964767223422066,
126,ARW,"Arrow Electronics, Inc.",NYQ,Electronics Wholesale,USA,1.4152187481151106,
127,ARI,"Apollo Commercial Real Estate Finance, Inc.",NYQ,REIT - Diversified,USA,1.7063053935257062,
