,Ticker,Name,Exchange,Category Name,Country,ratio,earnings
0,AAPL,Apple Inc.,NMS,Electronic Equipment,USA,,
1,BAC,Bank of America Corporation,NYQ,Money Center Banks,USA,,
2,AMZN,"Amazon.com, Inc.",NMS,Catalog & Mail Order Houses,USA,,
3,T,AT&T Inc.,NYQ,Telecom Services - Domestic,USA,,
4,GOOG,Alphabet Inc.,NMS,Internet Information Providers,USA,,
5,MO,"Altria Group, Inc.",NYQ,Cigarettes,USA,,
6,DAL,"Delta Air Lines, Inc.",NYQ,Major Airlines,USA,,
7,AA,Alcoa Corporation,NYQ,Aluminum,USA,,
8,AXP,American Express Company,NYQ,Credit Services,USA,,
9,DD,E. I. du Pont de Nemours and Company,NYQ,Agricultural Chemicals,USA,,
10,BABA,Alibaba Group Holding Limited,NYQ,"Specialty Retail, Other",USA,,
11,ABT,Abbott Laboratories,NYQ,Medical Appliances & Equipment,USA,,
12,UA,"Under Armour, Inc.",NYQ,Textile - Apparel Clothing,USA,,
13,AMAT,"Applied Materials, Inc.",NMS,Semiconductor Equipment & Materials,USA,,
14,AMGN,Amgen Inc.,NMS,Biotechnology,USA,,
15,AAL,American Airlines Group Inc.,NMS,Major Airlines,USA,,
16,AIG,"American International Group, Inc.",NYQ,Property & Casualty Insurance,USA,,
17,ALL,The Allstate Corporation,NYQ,Property & Casualty Insurance,USA,,
18,ADBE,Adobe Systems Incorporated,NMS,Application Software,USA,,
19,GOOGL,Alphabet Inc.,NMS,Internet Information Providers,USA,,
20,ACN,Accenture plc,NYQ,Information Technology Services,USA,,
21,ABBV,AbbVie Inc.,NYQ,Drug Manufacturers - Major,USA,,
22,MT,ArcelorMittal,NYQ,Steel & Iron,USA,,
23,LLY,Eli Lilly and Company,NYQ,Drug Manufacturers - Major,USA,,
24,AGN,Allergan plc,NYQ,Drugs - Generic,USA,,
25,APA,Apache Corporation,NYQ,Independent Oil & Gas,USA,,
26,ADP,"Automatic Data Processing, Inc.",NMS,Business Software & Services,USA,,
27,APC,Anadarko Petroleum Corporation,NYQ,Independent Oil & Gas,USA,,
28,AKAM,"Akamai Technologies, Inc.",NMS,Internet Information Providers,USA,,
29,NLY,"Annaly Capital Management, Inc.",NYQ,REIT - Diversified,USA,,
30,ABX,Barrick Gold Corporation,NYQ,Gold,USA,,
31,ATVI,"Activision Blizzard, Inc.",NMS,Multimedia & Graphics Software,USA,,
32,ADSK,"Autodesk, Inc.",NMS,Technical & System Software,USA,,
33,ADM,Archer-Daniels-Midland Company,NYQ,Farm Products,USA,,
34,BMH.AX,Baumart Holdings Limited,ASX,General Building Materials,Australia,2.5388786687090397,
35,WBA,"Walgreens Boots Alliance, Inc.",NMS,Drug Stores,USA,,
36,ARNA,"Arena Pharmaceuticals, Inc.",NMS,Biotechnology,USA,,
37,LUV,Southwest Airlines Co.,NYQ,Regional Airlines,USA,,
38,ACAD,ACADIA Pharmaceuticals Inc.,NMS,Biotechnology,USA,,
39,PANW,"Palo Alto Networks, Inc.",NYQ,Networking & Communication Devices,USA,,
40,AMD,"Advanced Micro Devices, Inc.",NCM,Semiconductor - Broad Line,USA,,
41,AET,Aetna Inc.,NYQ,Health Care Plans,USA,,
42,AEP,"American Electric Power Company, Inc.",NYQ,Electric Utilities,USA,,
43,ALXN,"Alexion Pharmaceuticals, Inc.",NMS,Biotechnology,USA,,
44,AVGO,Broadcom Limited,NMS,Semiconductor - Broad Line,USA,,
45,EA,Electronic Arts Inc.,NMS,Multimedia & Graphics Software,USA,,
46,DB,Deutsche Bank Aktiengesellschaft,NYQ,Foreign Regional Banks,USA,,
47,AEM,Agnico Eagle Mines Limited,NYQ,Gold,USA,,
48,APD,"Air Products and Chemicals, Inc.",NYQ,Chemicals - Major Diversified,USA,,
49,AMBA,"Ambarella, Inc.",NMS,Semiconductor Equipment & Materials,USA,,
50,NVS,Novartis AG,NYQ,Drug Manufacturers - Major,USA,,
51,ANF,Abercrombie & Fitch Co.,NYQ,Apparel Stores,USA,,
52,LULU,Lululemon Athletica Inc.,NMS,Textile - Apparel Clothing,USA,,
53,RAD,Rite Aid Corporation,NYQ,Drug Stores,USA,,
54,BRK.AX,Brookside Energy Limited,ASX,Independent Oil & Gas,Australia,2.6469219847249796,2187313.0
55,ARRY,Array BioPharma Inc.,NGM,Biotechnology,USA,,
56,AGNC,AGNC Investment Corp.,NMS,REIT - Residential,USA,,
57,JBLU,JetBlue Airways Corporation,NMS,Regional Airlines,USA,,
58,A,"Agilent Technologies, Inc.",NYQ,Medical Laboratories & Research,USA,,
59,ORLY,"O'Reilly Automotive, Inc.",NMS,Auto Parts Stores,USA,,
60,FOLD,"Amicus Therapeutics, Inc.",NGM,Biotechnology,USA,,
61,AZO,"AutoZone, Inc.",NYQ,Auto Parts Stores,USA,,
62,AN,"AutoNation, Inc.",NYQ,Auto Dealerships,USA,,
63,AZN,AstraZeneca PLC,NYQ,Drug Manufacturers - Major,USA,,
64,AES,The AES Corporation,NYQ,Electric Utilities,USA,,
65,BUD,Anheuser-Busch InBev SA/NV,NYQ,Beverages - Brewers,USA,,
66,ARR,"ARMOUR Residential REIT, Inc.",NYQ,REIT - Residential,USA,,
67,BDX,"Becton, Dickinson and Company",NYQ,Medical Instruments & Supplies,USA,,
68,AKS,AK Steel Holding Corporation,NYQ,Steel & Iron,USA,,
69,AB,AllianceBernstein Holding L.P.,NYQ,Asset Management,USA,,
70,ACOR,"Acorda Therapeutics, Inc.",NMS,Biotechnology,USA,,
71,CS,Credit Suisse Group AG,NYQ,Foreign Money Center Banks,USA,,
72,AFL,Aflac Incorporated,NYQ,Accident & Health Insurance,USA,,
73,ADI,"Analog Devices, Inc.",NMS,Semiconductor - Integrated Circuits,USA,,
74,ACIW,"ACI Worldwide, Inc.",NMS,Technical & System Software,USA,,
75,AMP,"Ameriprise Financial, Inc.",NYQ,Asset Management,USA,,
76,AVP,"Avon Products, Inc.",NYQ,Personal Products,USA,,
77,AMTD,TD Ameritrade Holding Corporation,NMS,Investment Brokerage - National,USA,,
78,AEO,"American Eagle Outfitters, Inc.",NYQ,Apparel Stores,USA,,
79,AWK,"American Water Works Company, Inc.",NYQ,Water Utilities,USA,,
80,NVO,Novo Nordisk A/S,NYQ,Drug Manufacturers - Other,USA,,
81,ALK,"Alaska Air Group, Inc.",NYQ,Regional Airlines,USA,,
82,PAA,"Plains All American Pipeline, L.P.",NYQ,Oil & Gas Pipelines,USA,,
83,AAP,"Advance Auto Parts, Inc.",NYQ,Auto Parts Stores,USA,,
84,NAT,Nordic American Tankers Limited,NYQ,Shipping,USA,,
85,FNMA,Federal National Mortgage Association,PNK,Mortgage Investment,USA,,
86,AIV,Apartment Investment and Management Company,NYQ,REIT - Residential,USA,,
87,AGIO,"Agios Pharmaceuticals, Inc.",NMS,Biotechnology,USA,,
88,AEE,Ameren Corporation,NYQ,Electric Utilities,USA,,
89,UBS,UBS Group AG,NYQ,Foreign Money Center Banks,USA,,
90,AVXL,Anavex Life Sciences Corp.,NCM,Biotechnology,USA,,
91,ARLP,"Alliance Resource Partners, L.P.",NMS,Industrial Metals & Minerals,USA,,
92,ANTM,"Anthem, Inc.",NYQ,Health Care Plans,USA,,
93,AGU,Agrium Inc.,NYQ,Agricultural Chemicals,USA,,
94,AG,First Majestic Silver Corp.,NYQ,Silver,USA,,
95,AFSI,"AmTrust Financial Services, Inc.",NMS,Property & Casualty Insurance,USA,,
96,ABC,AmerisourceBergen Corporation,NYQ,Drugs Wholesale,USA,,
97,STO,Statoil ASA,NYQ,Major Integrated Oil & Gas,USA,,
98,ATI,Allegheny Technologies Incorporated,NYQ,Metal Fabrication,USA,,
99,AVB,"AvalonBay Communities, Inc.",NYQ,REIT - Residential,USA,,
100,ATW,"Atwood Oceanics, Inc.",NYQ,Oil & Gas Drilling & Exploration,USA,,
101,ALNY,"Alnylam Pharmaceuticals, Inc.",NMS,Biotechnology,USA,,
102,LH,Laboratory Corporation of America Holdings,NYQ,Medical Laboratories & Research,USA,,
103,AVY,Avery Dennison Corporation,NYQ,Business Equipment,USA,,
104,AUY,Yamana Gold Inc.,NYQ,Gold,USA,,
105,ASH,Ashland Global Holdings Inc.,NYQ,Chemicals - Major Diversified,USA,,
