,Ticker,Name,Exchange,Category Name,Country,ratio,earnings,dividends
296,DOX,Amdocs Limited,NMS,Business Software & Services,USA,2.8817182920540385,3974837000.0,True
388,GIL,Gildan Activewear Inc.,NYQ,Textile - Apparel Clothing,USA,2.812628689087165,3780000000.0,True
393,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",NYQ,"Air Services, Other",USA,2.8810551991873723,786236785.7143,True
441,TEO,Telecom Argentina S.A.,NYQ,Diversified Communication Services,USA,2.6027516191143207,4457453580.9019,True
461,PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",NYQ,"Air Services, Other",USA,2.2246438815025926,720555612.2449,True
469,AVX,AVX Corporation,NYQ,Diversified Electronics,USA,6.556259875366466,1791790000.0,True
513,BRKS,"Brooks Automation, Inc.",NMS,Semiconductor Equipment & Materials,USA,4.02073757774271,780848000.0,True
526,FWRD,Forward Air Corporation,NMS,Air Delivery & Freight Services,USA,2.3951839031559405,1410395000.0,True
551,ASTE,"Astec Industries, Inc.",NMS,Farm & Construction Machinery,USA,4.031740275700205,1169613000.0,True
891,SDF.AX,Steadfast Group Limited,ASX,Insurance Brokers,Australia,2.031364147860765,721238000.0,True
897,RMS.PA,Hermès International Société en commandite par actions,PAR,Jewelry Stores,France,2.989561902456735,6883400000.0,True
905,PMV.AX,Premier Investments Limited,ASX,Apparel Stores,Australia,4.2168978893135325,1275553000.0,True
929,MAL.TO,Magellan Aerospace Corporation,TOR,Aerospace/Defense - Major Diversified,Canada,3.5081573616076778,1016219000.0,True
935,LAS-A.TO,Lassonde Industries Inc.,TOR,Beverages - Soft Drinks,Canada,2.2770421631992663,1678301000.0,True
948,IGO.AX,Independence Group NL,ASX,Industrial Metals & Minerals,Australia,6.419141933536338,784512000.0,True
953,HEXA-B.ST,Hexagon AB,STO,Scientific & Technical Instruments,Sweden,2.3433472599862943,3907700000.0,True
957,GMG.AX,Goodman Group,ASX,REIT - Diversified,Australia,3.108632917583761,1972400000.0,True
961,GCLA.BA,Grupo Clarín S.A.,BUE,Entertainment - Diversified,Argentina,2.04353225931204,25429344898.0,True
966,FMG.AX,Fortescue Metals Group Limited,ASX,Industrial Metals & Minerals,Australia,2.165841856373034,9965000000.0,True
981,CDD.AX,Cardno Limited,ASX,General Contractors,Australia,2.140737634013998,1319272000.0,True
982,CDA.PA,Compagnie des Alpes SA,PAR,Resorts & Casinos,France,2.0137580252416174,854011000.0,True
