,Ticker,Name,Exchange,Category Name,Country,earnings,ratio,dividends
0,AAPL,Apple Inc.,NMS,Electronic Equipment,USA,"267,981,000",,True
1,BAC,Bank of America Corporation,NYQ,Money Center Banks,USA,"91,007,000",,True
2,AMZN,"Amazon.com, Inc.",NMS,Catalog & Mail Order Houses,USA,"296,274,000",,False
3,T,AT&T Inc.,NYQ,Telecom Services - Domestic,USA,"179,145,000",,True
4,GOOG,Alphabet Inc.,NMS,Internet Information Providers,USA,"166,677,000",,False
5,MO,"Altria Group, Inc.",NYQ,Cigarettes,USA,"20,453,000",,True
6,DAL,"Delta Air Lines, Inc.",NYQ,Major Airlines,USA,"45,127,000",,True
7,AA,Alcoa Corporation,NYQ,Aluminum,USA,"10,095,000",,True
8,AXP,American Express Company,NYQ,Credit Services,USA,"30,994,000",,True
9,DD,E. I. du Pont de Nemours and Company,NYQ,Agricultural Chemicals,USA,"21,319,000",,True
10,BABA,Alibaba Group Holding Limited,NYQ,"Specialty Retail, Other",USA,"509,711,000",,False
11,ABT,Abbott Laboratories,NYQ,Medical Appliances & Equipment,USA,"32,095,000",,True
12,UA,"Under Armour, Inc.",NYQ,Textile - Apparel Clothing,USA,"4,992,650",,False
13,AMAT,"Applied Materials, Inc.",NMS,Semiconductor Equipment & Materials,USA,"15,435,000",,True
14,AMGN,Amgen Inc.,NMS,Biotechnology,USA,"23,966,000",,True
15,AAL,American Airlines Group Inc.,NMS,Major Airlines,USA,"43,699,000",,True
16,AIG,"American International Group, Inc.",NYQ,Property & Casualty Insurance,USA,"51,991,000",,True
17,ALL,The Allstate Corporation,NYQ,Property & Casualty Insurance,USA,"43,761,000",,True
18,ADBE,Adobe Systems Incorporated,NMS,Application Software,USA,"12,045,071",,True
19,GOOGL,Alphabet Inc.,NMS,Internet Information Providers,USA,"166,677,000",,False
20,ACN,Accenture plc,NYQ,Information Technology Services,USA,"43,274,244",,True
21,ABBV,AbbVie Inc.,NYQ,Drug Manufacturers - Major,USA,"34,057,000",,True
22,MT,ArcelorMittal,NYQ,Steel & Iron,USA,"66,271,000",,True
23,LLY,Eli Lilly and Company,NYQ,Drug Manufacturers - Major,USA,"23,087,100",,True
24,AGN,Allergan plc,NYQ,Drugs - Generic,USA,"16,096,200",,True
25,APA,Apache Corporation,NYQ,Independent Oil & Gas,USA,"5,981,000",,True
26,ADP,"Automatic Data Processing, Inc.",NMS,Business Software & Services,USA,"14,757,300",,True
27,APC,Anadarko Petroleum Corporation,NYQ,Independent Oil & Gas,USA,,,False
28,AKAM,"Akamai Technologies, Inc.",NMS,Internet Information Providers,USA,"2,951,411",,False
